Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
HSS,HSS22X22X.750,HSS22X22X3/4,–,212.0,58.2,–,–,22,19.9,–,–,–,22,19.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,28.5,–,28.5,–,4350.0,462.0,395.0,8.65,4350.0,462.0,395.0,8.65,–,–,–,6860,–,632,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X558.8X19.0,HSS558.8X558.8X19.0,315.0,37600,–,–,559,505,–,–,–,559,505,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,28.5,–,28.5,–,1810.0,7570.0,6470.0,220.0,1810.0,7570.0,6470.0,220.0,–,–,–,2860000,–,10400,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X22X.625,HSS22X22X5/8,–,178.41,48.9,–,–,22,20.3,–,–,–,22,20.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,34.9,–,34.9,–,3710.0,390.0,337.0,8.7,3710.0,390.0,337.0,8.7,–,–,–,5790,–,532,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X558.8X15.9,HSS558.8X558.8X15.9,266.0,31500,–,–,559,516,–,–,–,559,516,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,34.9,–,34.9,–,1540.0,6390.0,5520.0,221.0,1540.0,6390.0,5520.0,221.0,–,–,–,2410000,–,8720,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X22X.500,HSS22X22X1/2,–,144.13,39.5,–,–,22,20.6,–,–,–,22,20.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,44.3,–,44.3,–,3030.0,317.0,276.0,8.76,3030.0,317.0,276.0,8.76,–,–,–,4700,–,431,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X558.8X12.7,HSS558.8X558.8X12.7,214.0,25500,–,–,559,523,–,–,–,559,523,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,44.3,–,44.3,–,1260.0,5190.0,4520.0,223.0,1260.0,5190.0,4520.0,223.0,–,–,–,1960000,–,7060,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X20X.750,HSS22X20X3/4,–,201.79,55.4,–,–,22,19.9,–,–,–,20,17.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,25.7,–,28.5,–,4040.0,432.0,367.0,8.54,3490.0,405.0,349.0,7.93,–,–,–,5920,–,573,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X508X19.0,HSS558.8X508X19.0,300.0,35700,–,–,559,505,–,–,–,508,455,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,25.7,–,28.5,–,1680.0,7080.0,6010.0,217.0,1450.0,6640.0,5720.0,201.0,–,–,–,2460000,–,9390,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X20X.625,HSS22X20X5/8,–,169.91,46.6,–,–,22,20.3,–,–,–,20,18.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,31.4,–,34.9,–,3440.0,366.0,313.0,8.59,2970.0,343.0,297.0,7.99,–,–,–,5000,–,483,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X508X15.9,HSS558.8X508X15.9,253.0,30100,–,–,559,516,–,–,–,508,465,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,31.4,–,34.9,–,1430.0,6000.0,5130.0,218.0,1240.0,5620.0,4870.0,203.0,–,–,–,2080000,–,7910,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X20X.500,HSS22X20X1/2,–,137.32,37.6,–,–,22,20.6,–,–,–,20,18.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,40,–,44.3,–,2820.0,297.0,256.0,8.65,2440.0,279.0,244.0,8.04,–,–,–,4060,–,391,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X508X12.7,HSS558.8X508X12.7,204.0,24300,–,–,559,523,–,–,–,508,472,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,40,–,44.3,–,1170.0,4870.0,4200.0,220.0,1020.0,4570.0,4000.0,204.0,–,–,–,1690000,–,6410,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X20X.375,HSS22X20X3/8,–,104.04,28.5,–,–,22,21,–,–,–,20,19.0,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,54.3,–,60,–,2160.0,227.0,196.0,8.71,1870.0,213.0,187.0,8.1,–,–,–,3090,–,297,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X508X9.5,HSS558.8X508X9.5,155.0,18400,–,–,559,533,–,–,–,508,483,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,54.3,–,60,–,899.0,3720.0,3210.0,221.0,778.0,3490.0,3060.0,206.0,–,–,–,1290000,–,4870,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X20X.313,HSS22X20X5/16,–,87.14,23.9,–,–,22,21.1,–,–,–,20,19.1,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,65.7,–,72.6,–,1820.0,191.0,166.0,8.73,1580.0,179.0,158.0,8.13,–,–,–,2590,–,249,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X508X7.9,HSS558.8X508X7.9,130.0,15400,–,–,559,536,–,–,–,508,485,–,–,–,–,–,–,–,7.95,7.39,–,–,–,–,–,–,–,–,–,–,65.7,–,72.6,–,758.0,3130.0,2720.0,222.0,658.0,2930.0,2590.0,207.0,–,–,–,1080000,–,4080,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X18X.750,HSS22X18X3/4,–,191.58,52.6,–,–,22,19.9,–,–,–,18,15.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,22.8,–,28.5,–,3720.0,402.0,338.0,8.41,2730.0,351.0,304.0,7.21,–,–,–,5000,–,513,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X457.2X19.0,HSS558.8X457.2X19.0,285.0,33900,–,–,559,505,–,–,–,457,404,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,22.8,–,28.5,–,1550.0,6590.0,5540.0,214.0,1140.0,5750.0,4980.0,183.0,–,–,–,2080000,–,8410,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X18X.625,HSS22X18X5/8,–,161.4,44.3,–,–,22,20.3,–,–,–,18,16.3,–,–,–,–,–,–,–,0.625,0.581,–,–,–,–,–,–,–,–,–,–,28,–,34.9,–,3170.0,341.0,288.0,8.47,2330.0,297.0,259.0,7.26,–,–,–,4230,–,433,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X457.2X15.9,HSS558.8X457.2X15.9,240.0,28600,–,–,559,516,–,–,–,457,414,–,–,–,–,–,–,–,15.9,14.8,–,–,–,–,–,–,–,–,–,–,28,–,34.9,–,1320.0,5590.0,4720.0,215.0,970.0,4870.0,4240.0,184.0,–,–,–,1760000,–,7100,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X18X.500,HSS22X18X1/2,–,130.52,35.8,–,–,22,20.6,–,–,–,18,16.6,–,–,–,–,–,–,–,0.5,0.465,–,–,–,–,–,–,–,–,–,–,35.7,–,44.3,–,2600.0,277.0,236.0,8.52,1910.0,242.0,213.0,7.31,–,–,–,3440,–,351,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X457.2X12.7,HSS558.8X457.2X12.7,194.0,23100,–,–,559,523,–,–,–,457,422,–,–,–,–,–,–,–,12.7,11.8,–,–,–,–,–,–,–,–,–,–,35.7,–,44.3,–,1080.0,4540.0,3870.0,216.0,795.0,3970.0,3490.0,186.0,–,–,–,1430000,–,5750,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X18X.375,HSS22X18X3/8,–,98.94,27.1,–,–,22,21,–,–,–,18,17.0,–,–,–,–,–,–,–,0.375,0.349,–,–,–,–,–,–,–,–,–,–,48.6,–,60,–,2000.0,212.0,182.0,8.58,1470.0,185.0,164.0,7.37,–,–,–,2620,–,267,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X457.2X9.5,HSS558.8X457.2X9.5,147.0,17500,–,–,559,533,–,–,–,457,432,–,–,–,–,–,–,–,9.53,8.86,–,–,–,–,–,–,–,–,–,–,48.6,–,60,–,832.0,3470.0,2980.0,218.0,612.0,3030.0,2690.0,187.0,–,–,–,1090000,–,4380,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X18X.313,HSS22X18X5/16,–,82.88,22.7,–,–,22,21.1,–,–,–,18,17.1,–,–,–,–,–,–,–,0.3125,0.291,–,–,–,–,–,–,–,–,–,–,58.9,–,72.6,–,1680.0,178.0,153.0,8.61,1240.0,156.0,138.0,7.4,–,–,–,2200,–,224,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X457.2X7.9,HSS558.8X457.2X7.9,123.0,14600,–,–,559,536,–,–,–,457,434,–,–,–,–,–,–,–,7.95,7.39,–,–,–,–,–,–,–,–,–,–,58.9,–,72.6,–,699.0,2920.0,2510.0,219.0,516.0,2560.0,2260.0,188.0,–,–,–,916000,–,3670,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
HSS,HSS22X16X.750,HSS22X16X3/4,–,181.37,49.8,–,–,22,19.9,–,–,–,16,13.9,–,–,–,–,–,–,–,0.75,0.698,–,–,–,–,–,–,–,–,–,–,19.9,–,28.5,–,3400.0,372.0,309.0,8.26,2080.0,300.0,260.0,6.47,–,–,–,4130,–,454,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,HSS558.8X406.4X19.0,HSS558.8X406.4X19.0,270.0,32100,–,–,559,505,–,–,–,406,353,–,–,–,–,–,–,–,19.1,17.7,–,–,–,–,–,–,–,–,–,–,19.9,–,28.5,–,1420.0,6100.0,5060.0,210.0,866.0,4920.0,4260.0,164.0,–,–,–,1720000,–,7440,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
