Type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,Ht,h,OD,bf,bfdet,B,b,ID,tw,twdet,twdet/2,tf,tfdet,t,tnom,tdes,kdes,kdet,k1,x,y,eo,xp,yp,bf/2tf,b/t,b/tdes,h/tw,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,C,Wno,Sw1,Sw2,Sw3,Qf,Qw,ro,H,tan(α),Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo,EDI_Std_Nomenclature.1,AISC_Manual_Label.1,W.1,A.1,d.1,ddet.1,Ht.1,h.1,OD.1,bf.1,bfdet.1,B.1,b.1,ID.1,tw.1,twdet.1,twdet/2.1,tf.1,tfdet.1,t.1,tnom.1,tdes.1,kdes.1,kdet.1,k1.1,x.1,y.1,eo.1,xp.1,yp.1,bf/2tf.1,b/t.1,b/tdes.1,h/tw.1,h/tdes.1,D/t.1,Ix.1,Zx.1,Sx.1,rx.1,Iy.1,Zy.1,Sy.1,ry.1,Iz.1,rz.1,Sz.1,J.1,Cw.1,C.1,Wno.1,Sw1.1,Sw2.1,Sw3.1,Qf.1,Qw.1,ro.1,H.1,tan(α).1,Iw.1,zA.1,zB.1,zC.1,wA.1,wB.1,wC.1,SwA.1,SwB.1,SwC.1,SzA.1,SzB.1,SzC.1,rts.1,ho.1,PA.1,PA2.1,PB.1,PC.1,PD.1,T.1,WGi.1,WGo.1
2L,2L5X5X1/2X3/8,2L5X5X1/2X3/8,–,32.4,9.58,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.5,–,–,–,–,–,–,1.42,–,–,0.479,–,10,–,–,–,–,22.6,11.3,6.3,1.53,47.2,15.4,9.1,2.22,–,–,–,–,–,–,–,–,–,–,–,–,2.94,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X12.7X9,2L127X127X12.7X9,48.0,6180,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,12.7,–,–,–,–,–,–,36.1,–,–,12.2,–,10,–,–,–,–,9.41,185.0,103.0,38.9,19.6,252.0,149.0,56.4,–,–,–,–,–,–,–,–,–,–,–,–,74.7,0.842,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X1/2X3/4,2L5X5X1/2X3/4,–,32.4,9.58,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.5,–,–,–,–,–,–,1.42,–,–,0.479,–,10,–,–,–,–,22.6,11.3,6.3,1.53,53.4,17.2,9.93,2.36,–,–,–,–,–,–,–,–,–,–,–,–,3.05,0.852,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X12.7X19,2L127X127X12.7X19,48.0,6180,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,12.7,–,–,–,–,–,–,36.1,–,–,12.2,–,10,–,–,–,–,9.41,185.0,103.0,38.9,22.2,282.0,163.0,59.9,–,–,–,–,–,–,–,–,–,–,–,–,77.5,0.852,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X7/16,2L5X5X7/16,–,28.6,8.44,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.438,–,–,–,–,–,–,1.4,–,–,0.422,–,11.4,–,–,–,–,20.0,10.0,5.56,1.54,36.5,11.8,7.3,2.08,–,–,–,–,–,–,–,–,–,–,–,–,2.85,0.828,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X11.1,2L127X127X11.1,42.4,5450,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,11.1,–,–,–,–,–,–,35.6,–,–,10.7,–,11.4,–,–,–,–,8.32,164.0,91.1,39.1,15.2,193.0,120.0,52.8,–,–,–,–,–,–,–,–,–,–,–,–,72.4,0.828,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X7/16X3/8,2L5X5X7/16X3/8,–,28.6,8.44,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.438,–,–,–,–,–,–,1.4,–,–,0.422,–,11.4,–,–,–,–,20.0,10.0,5.56,1.54,41.2,13.4,7.94,2.21,–,–,–,–,–,–,–,–,–,–,–,–,2.94,0.839,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X11.1X9,2L127X127X11.1X9,42.4,5450,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,11.1,–,–,–,–,–,–,35.6,–,–,10.7,–,11.4,–,–,–,–,8.32,164.0,91.1,39.1,17.1,220.0,130.0,56.1,–,–,–,–,–,–,–,–,–,–,–,–,74.7,0.839,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X7/16X3/4,2L5X5X7/16X3/4,–,28.6,8.44,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.438,–,–,–,–,–,–,1.4,–,–,0.422,–,11.4,–,–,–,–,20.0,10.0,5.56,1.54,46.6,15.0,8.67,2.35,–,–,–,–,–,–,–,–,–,–,–,–,3.05,0.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X11.1X19,2L127X127X11.1X19,42.4,5450,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,11.1,–,–,–,–,–,–,35.6,–,–,10.7,–,11.4,–,–,–,–,8.32,164.0,91.1,39.1,19.4,246.0,142.0,59.7,–,–,–,–,–,–,–,–,–,–,–,–,77.5,0.85,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X3/8,2L5X5X3/8,–,24.6,7.3,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.37,–,–,0.365,–,13.3,–,–,–,–,17.5,8.66,4.82,1.55,31.3,10.0,6.26,2.07,–,–,–,–,–,–,–,–,–,–,–,–,2.84,0.826,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X9.5,2L127X127X9.5,36.4,4710,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,9.53,–,–,–,–,–,–,34.8,–,–,9.27,–,13.3,–,–,–,–,7.28,142.0,79.0,39.4,13.0,164.0,103.0,52.6,–,–,–,–,–,–,–,–,–,–,–,–,72.1,0.826,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X3/8X3/8,2L5X5X3/8X3/8,–,24.6,7.3,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.37,–,–,0.365,–,13.3,–,–,–,–,17.5,8.66,4.82,1.55,35.3,11.4,6.8,2.2,–,–,–,–,–,–,–,–,–,–,–,–,2.94,0.838,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X9.5X9,2L127X127X9.5X9,36.4,4710,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,9.53,–,–,–,–,–,–,34.8,–,–,9.27,–,13.3,–,–,–,–,7.28,142.0,79.0,39.4,14.7,187.0,111.0,55.9,–,–,–,–,–,–,–,–,–,–,–,–,74.7,0.838,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X3/8X3/4,2L5X5X3/8X3/4,–,24.6,7.3,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.375,–,–,–,–,–,–,1.37,–,–,0.365,–,13.3,–,–,–,–,17.5,8.66,4.82,1.55,40.0,12.7,7.44,2.34,–,–,–,–,–,–,–,–,–,–,–,–,3.04,0.848,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X9.5X19,2L127X127X9.5X19,36.4,4710,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,9.53,–,–,–,–,–,–,34.8,–,–,9.27,–,13.3,–,–,–,–,7.28,142.0,79.0,39.4,16.6,208.0,122.0,59.4,–,–,–,–,–,–,–,–,–,–,–,–,77.2,0.848,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X5/16,2L5X5X5/16,–,20.6,6.14,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.35,–,–,0.307,–,16,–,–,–,–,14.9,7.3,4.08,1.56,26.1,8.29,5.22,2.06,–,–,–,–,–,–,–,–,–,–,–,–,2.84,0.825,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X7.9,2L127X127X7.9,30.6,3960,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,7.94,–,–,–,–,–,–,34.3,–,–,7.8,–,16,–,–,–,–,6.2,120.0,66.9,39.6,10.9,136.0,85.5,52.3,–,–,–,–,–,–,–,–,–,–,–,–,72.1,0.825,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
2L,2L5X5X5/16X3/8,2L5X5X5/16X3/8,–,20.6,6.14,5,–,–,–,–,–,–,–,5,–,–,–,–,–,–,0.313,–,–,–,–,–,–,1.35,–,–,0.307,–,16,–,–,–,–,14.9,7.3,4.08,1.56,29.4,9.44,5.67,2.19,–,–,–,–,–,–,–,–,–,–,–,–,2.94,0.836,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,2L127X127X7.9X9,2L127X127X7.9X9,30.6,3960,127,–,–,–,–,–,–,–,127,–,–,–,–,–,–,7.94,–,–,–,–,–,–,34.3,–,–,7.8,–,16,–,–,–,–,6.2,120.0,66.9,39.6,12.2,155.0,92.9,55.6,–,–,–,–,–,–,–,–,–,–,–,–,74.7,0.836,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–
